Basin,month,STAT,VALUE
Okavango Basin,1992feb,average,48.81418774050
Cuvelai Basin,1992feb,average,49.13263706140
Zambezi Basin,1992jan,average,143.16926175100
Limpopo Basin,1992jan,average,54.78250783490
Okavango Basin,1992jan,average,68.52522650740
Cuvelai Basin,1992jan,average,89.71319566580
Zambezi Basin,1992jul,average,1.81429279065
Limpopo Basin,1992jul,average,3.83293614224
Okavango Basin,1992jul,average,0.35344318029
Cuvelai Basin,1992jul,average,0.04332065504
Zambezi Basin,1992jun,average,2.09536331530
Limpopo Basin,1992jun,average,7.62680857908
Okavango Basin,1992jun,average,1.14751473284
Cuvelai Basin,1992jun,average,0.29036650116
Zambezi Basin,1992mar,average,139.33950531500
Limpopo Basin,1992mar,average,37.67951949520
Okavango Basin,1992mar,average,68.99775722890
Cuvelai Basin,1992mar,average,59.71700115800
Zambezi Basin,1992may,average,8.83885614840
Limpopo Basin,1992may,average,4.75377106806
Okavango Basin,1992may,average,2.88539994924
Cuvelai Basin,1992may,average,2.13677369174
Zambezi Basin,1992nov,average,96.42069015930
Limpopo Basin,1992nov,average,71.95627084120
Okavango Basin,1992nov,average,51.55426782100
Cuvelai Basin,1992nov,average,27.91909787690
Zambezi Basin,1992oct,average,29.22006253490
Limpopo Basin,1992oct,average,31.81179826700
Okavango Basin,1992oct,average,23.48533594640
Cuvelai Basin,1992oct,average,8.33663064984
Zambezi Basin,1992sep,average,3.15795180411
Limpopo Basin,1992sep,average,6.62611528089
Okavango Basin,1992sep,average,4.15574701581
Cuvelai Basin,1992sep,average,2.06809358393
Zambezi Basin,1993apr,average,64.87699796440
Limpopo Basin,1993apr,average,18.54819231110
Okavango Basin,1993apr,average,33.72961644850
Cuvelai Basin,1993apr,average,36.77432055230
Zambezi Basin,1993aug,average,2.12923618523
Limpopo Basin,1993aug,average,5.39838522651
Okavango Basin,1993aug,average,0.69284835057
Cuvelai Basin,1993aug,average,0.20783373614
Zambezi Basin,1993dec,average,127.34179823000
Limpopo Basin,1993dec,average,98.94252434610
Okavango Basin,1993dec,average,82.50225924790
Cuvelai Basin,1993dec,average,88.27956453740
Zambezi Basin,1993feb,average,241.37669808900
Limpopo Basin,1993feb,average,97.47120427790
Okavango Basin,1993feb,average,123.43682394700
Cuvelai Basin,1993feb,average,126.26008274500
Zambezi Basin,1993jan,average,222.99485971800
Limpopo Basin,1993jan,average,63.65251903170
Okavango Basin,1993jan,average,90.00583646280
Cuvelai Basin,1993jan,average,71.96821121770
Zambezi Basin,1993jul,average,1.62981684198
Limpopo Basin,1993jul,average,5.75041789117
Okavango Basin,1993jul,average,0.36295403441
Cuvelai Basin,1993jul,average,0.03675269065
Zambezi Basin,1993jun,average,2.29957162495
Limpopo Basin,1993jun,average,5.89481583640
Okavango Basin,1993jun,average,1.14901284058
Cuvelai Basin,1993jun,average,0.28958042359
Zambezi Basin,1993mar,average,148.55268409800
Limpopo Basin,1993mar,average,41.03604100190
Okavango Basin,1993mar,average,55.78615500540
Cuvelai Basin,1993mar,average,71.67338991260
